freq_subset,rcond,measure,sum_accuracy,avg_accuracy,n_rows
10000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
10000,0.01,euclidean_distance,711.9999999999991,0.051951842393287054,13705
10000,0.02,euclidean_distance,711.9999999999991,0.051951842393287054,13705
20000,0.001,euclidean_distance,711.9999999999991,0.051951842393287054,13705
50000,0.01,euclidean_distance,711.9999999999991,0.051951842393287054,13705
20000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
20000,0.02,euclidean_distance,711.9999999999991,0.051951842393287054,13705
30000,0.001,euclidean_distance,711.9999999999991,0.051951842393287054,13705
30000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
30000,0.02,euclidean_distance,711.9999999999991,0.051951842393287054,13705
50000,0.001,euclidean_distance,711.9999999999991,0.051951842393287054,13705
50000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
30000,0.01,euclidean_distance,711.9999999999991,0.051951842393287054,13705
10000,0.01,mahalanobis_distance,689.9999999999992,0.050346588836191114,13705
10000,0.005,mahalanobis_distance,689.9999999999992,0.050346588836191114,13705
10000,0.001,mahalanobis_distance,689.9999999999992,0.050346588836191114,13705
10000,0.02,mahalanobis_distance,655.9999999999993,0.047865742429770104,13705
